Date,Close/Last,Open,High,Low,
11/26/2015,2088.87,0,0,0,
11/25/2015,2088.87,2089.3,2093,2086.3,
11/24/2015,2089.14,2084.42,2094.12,2070.29,
11/23/2015,2086.59,2089.41,2095.61,2081.39,
11/20/2015,2089.17,2082.82,2097.06,2082.82,
11/19/2015,2081.24,2083.7,2086.74,2078.76,
11/18/2015,2083.58,2051.99,2085.31,2051.99,
11/17/2015,2050.44,2053.67,2066.69,2045.9,
11/16/2015,2053.19,2022.08,2053.22,2019.39,
11/13/2015,2023.04,2044.64,2044.64,2022.02,
11/12/15,2045.97,2072.29,2072.29,2045.66,
11/11/15,2075,2083.41,2086.94,2074.85,
11/10/15,2081.72,2077.19,2083.67,2069.91,
11/9/15,2078.58,2096.56,2096.56,2068.24,
11/6/15,2099.2,2098.6,2101.91,2083.74,
11/5/15,2099.93,2101.68,2108.78,2090.41,
11/4/15,2102.31,2110.6,2114.59,2096.98,
11/3/15,2109.79,2102.63,2116.48,2097.51,
11/2/15,2104.05,2080.76,2106.2,2080.76,
10/30/2015,2079.36,2090,2094.32,2079.34,
10/29/2015,2089.41,2088.35,2092.52,2082.63,
10/28/2015,2090.35,2066.48,2090.35,2063.11,
10/27/2015,2065.89,2068.75,2070.37,2058.84,
10/26/2015,2071.18,2075.08,2075.14,2066.53,
10/23/2015,2075.15,2058.19,2079.74,2058.19,
10/22/2015,2052.51,2021.88,2055.2,2021.88,
10/21/2015,2018.94,2033.47,2037.97,2017.22,
10/20/2015,2030.77,2033.13,2039.12,2026.61,
10/19/2015,2033.66,2031.73,2034.45,2022.31,
10/16/2015,2033.11,2024.37,2033.54,2020.46,
10/15/2015,2023.86,1996.47,2024.15,1996.47,
10/14/2015,1994.24,2003.66,2009.56,1990.73,
10/13/2015,2003.69,2015,2022.34,2001.78,
10/12/15,2017.46,2015.65,2018.66,2010.55,
10/9/15,2014.89,2013.73,2020.13,2007.61,
10/8/15,2013.43,1994.01,2016.5,1987.53,
10/7/15,1995.83,1982.34,1999.31,1976.44,
10/6/15,1979.92,1986.63,1991.62,1971.99,
10/5/15,1987.05,1954.33,1989.17,1954.33,
10/2/15,1951.36,1921.77,1951.36,1893.7,
10/1/15,1923.82,1919.65,1927.21,1900.7,
09/30/2015,1920.03,1887.14,1920.53,1887.14,
09/29/2015,1884.09,1881.9,1899.48,1871.91,
09/28/2015,1881.77,1929.18,1929.18,1879.21,
09/25/2015,1931.34,1935.93,1952.89,1921.5,
09/24/2015,1932.24,1934.81,1937.17,1908.92,
09/23/2015,1938.76,1943.24,1949.52,1932.57,
09/22/2015,1942.74,1961.39,1961.39,1929.22,
09/21/2015,1966.97,1960.84,1979.64,1955.8,
09/18/2015,1958.03,1989.66,1989.66,1953.45,
09/17/2015,1990.2,1995.33,2020.86,1986.73,
09/16/2015,1995.31,1978.02,1997.26,1977.93,
09/15/2015,1978.09,1955.1,1983.19,1954.3,
09/14/2015,1953.03,1963.06,1963.06,1948.27,
9/11/15,1961.05,1951.45,1961.05,1939.19,
9/10/15,1952.29,1941.59,1965.29,1937.19,
9/9/15,1942.04,1971.45,1988.63,1937.88,
9/8/15,1969.41,1927.3,1970.42,1927.3,
9/7/15,1921.22,0,0,0,
9/4/15,1921.22,1947.76,1947.76,1911.21,
9/3/15,1951.13,1950.79,1975.01,1944.72,
9/2/15,1948.86,1916.52,1948.91,1916.52,
9/1/15,1913.85,1970.09,1970.09,1903.07,
08/31/2015,1972.18,1986.73,1986.73,1965.98,
08/28/2015,1988.87,1986.06,1993.48,1975.19,
08/27/2015,1987.66,1942.77,1989.6,1942.77,
08/26/2015,1940.51,1872.75,1943.09,1872.75,
08/25/2015,1867.61,1898.08,1948.04,1867.08,
08/24/2015,1893.21,1965.15,1965.15,1867.01,
08/21/2015,1970.89,2034.08,2034.08,1970.89,
08/20/2015,2035.73,2076.61,2076.61,2035.73,
08/19/2015,2079.61,2095.69,2096.17,2070.53,
08/18/2015,2096.92,2101.99,2103.47,2094.14,
08/17/2015,2102.44,2089.7,2102.87,2079.3,
08/14/2015,2091.54,2083.15,2092.45,2080.61,
08/13/2015,2083.39,2086.19,2092.93,2078.26,
8/12/15,2086.05,2081.1,2089.06,2052.09,
8/11/15,2084.07,2102.66,2102.66,2076.49,
8/10/15,2104.18,2080.98,2105.35,2080.98,
8/7/15,2077.57,2082.61,2082.61,2067.91,
8/6/15,2083.56,2100.75,2103.32,2075.53,
8/5/15,2099.84,2095.27,2112.66,2095.27,
8/4/15,2093.32,2097.68,2102.51,2088.6,
8/3/15,2098.04,2104.49,2105.7,2087.31,
07/31/2015,2103.84,2111.6,2114.24,2102.07,
07/30/2015,2108.63,2106.78,2110.48,2094.97,
07/29/2015,2108.57,2094.7,2110.6,2094.08,
07/28/2015,2093.25,2070.75,2095.6,2069.09,
07/27/2015,2067.64,2078.19,2078.19,2063.52,
07/24/2015,2079.65,2102.24,2106.01,2077.09,
07/23/2015,2102.15,2114.16,2116.87,2098.63,
07/22/2015,2114.15,2118.21,2118.51,2110,
07/21/2015,2119.21,2127.55,2128.49,2115.4,
07/20/2015,2128.28,2126.85,2132.82,2123.65,
07/17/2015,2126.64,2126.8,2128.91,2119.88,
07/16/2015,2124.29,2110.55,2124.42,2110.55,
07/15/2015,2107.4,2109.01,2114.14,2102.49,
07/14/2015,2108.95,2099.72,2111.98,2098.18,
07/13/2015,2099.6,2080.03,2100.67,2080.03,
7/10/15,2076.62,2052.74,2081.31,2052.74,
7/9/15,2051.31,2049.73,2074.28,2049.73,
7/8/15,2046.68,2077.66,2077.66,2044.66,
